stock_id,name,code,date,open,high,low,close,volume,amount,outstanding_share,turnover,adjust,source
cyp,长江电力,600900,2025-07-04,29.1,29.32,29.05,29.19,67922805.0,2048728031.0,24007256503.0,0.0028292614356626804,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-07,29.27,29.31,29.11,29.29,50827848.0,1534745747.0,24007256503.0,0.00211718685946678,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-08,29.3,29.3,28.95,28.96,107328601.0,3219638664.0,24007256503.0,0.004470673314403417,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-09,28.99,29.14,28.89,29.02,67038321.0,2011578386.0,24007256503.0,0.0027924190751085092,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-10,29.04,29.12,28.85,28.94,94764305.0,2835522287.0,24007256503.0,0.003947319219426761,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-11,28.96,29.61,28.91,29.43,164215479.0,4984368453.0,24007256503.0,0.006840243448037441,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-14,29.45,29.8,29.43,29.63,77154717.0,2363137312.0,24007256503.0,0.0032138081663083233,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-15,29.63,29.7,29.38,29.5,56246157.0,1714077283.0,24007256503.0,0.0023428814947252033,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-16,29.62,29.68,29.36,29.37,38621346.0,1174692478.0,24007256503.0,0.0016087363416629381,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-17,29.35,29.43,29.15,29.19,61465548.0,1855170425.0,24007256503.0,0.0025602903852141178,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-18,29.31,29.37,29.12,29.27,60170190.0,1774601208.0,24007256503.0,0.002506333449325249,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-21,29.46,29.62,29.19,29.28,77827654.0,2301161415.0,24007256503.0,0.0032418387328129097,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-22,29.23,29.28,29.05,29.13,94394047.0,2772595624.0,24007256503.0,0.003931896465895814,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-23,29.18,29.22,28.94,28.95,107354945.0,3142732507.0,24007256503.0,0.0044717706492861725,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-24,28.96,28.96,28.57,28.71,166882768.0,4823718576.0,24007256503.0,0.006951346897099465,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-25,28.63,28.75,28.52,28.52,100879090.0,2910198554.0,24007256503.0,0.004202024916399503,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-28,28.52,28.61,28.37,28.41,84445060.0,2421911286.0,24007256503.0,0.0035174806412989154,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-29,28.38,28.51,28.37,28.4,71772013.0,2057394625.0,24007256503.0,0.0029895966242969585,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-30,28.41,28.71,28.41,28.47,97828042.0,2814742121.0,24007256503.0,0.004074936342175341,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-07-31,28.19,28.19,27.48,27.62,257969828.0,7209401327.0,24007256503.0,0.01074549388714048,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-08-01,27.57,27.83,27.46,27.77,98148606.0,2738151406.0,24007256503.0,0.004088289138233481,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-08-04,27.68,27.95,27.58,27.92,82320372.0,2311780582.0,24007256503.0,0.0034289787335638733,qfq,stock_zh_a_daily
cyp,长江电力,600900,2025-08-05,27.92,27.96,27.74,27.88,78715270.0,2209870180.0,24007256503.0,0.003278811553921772,qfq,stock_zh_a_daily
